N,mu,n_ratio,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
10,1.3587,1.127,4.843,4.8116,4.9084,5.1726,5.1882,5.0835,5.0123,5.061,5.2827,5.4652,5.5428,5.8745,6.1964,6.3792,6.4852,6.4384,6.9438,7.3061,7.5512,7.3552,7.9624,8.1806,8.3467,8.4239,8.5309,8.7036,8.7413,8.5992,8.54,8.2235,8.7848,8.6802,8.6525,8.9133,8.6096,8.681,8.6569,8.709,8.2435,8.4231,8.2641,8.2212,7.9478,7.9426,7.6194,7.7591,7.064,7.9924,8.312,8.2971,7.6851,7.0132,6.9022,6.8724,7.5304,7.8896,8.2303,7.9525,8.2334,7.9471,7.4477,6.9677,6.3861,6.2931,6.0249,5.4784,5.6778,5.0879,5.1041,5.4374,5.7315,6.0935,6.322,6.4699,6.7665,6.8931,6.7417,7.9189,7.2043,7.7334,7.637,7.9947,7.5927,7.6416,7.6112,7.6915,8.0851,8.2198,8.0446,8.0241,7.9996,7.8135,7.9606,7.703,7.2997,8.2319,8.2004,8.202,8.6217,8.6062,8.6296,8.3546,8.1215,8.2332,8.6554,8.6854,8.7432,8.5001,8.2697,7.9762,7.8792,8.2979,8.133,7.8427,7.7412,7.5703,7.8557,7.7311,7.4127,7.6104,7.8274,7.8796,7.3153,6.9105,7.0186,6.8473,7.332,8.0763,7.9515,8.1372,7.975,8.0684,8.1813,8.0506,8.2592,8.5905,8.0056,8.0257,7.9932,8.3277,7.9917,7.9624,7.689,8.1164,8.465,8.6336,8.5831,8.6435,8.8928,9.0205,8.6624,8.6862,8.7781,8.7458,8.6276,8.2562,8.4481,7.8581,7.7455,7.7553,7.7991,8.0772,8.083,8.2079,8.5129,8.7001,8.7628,8.7409,8.6571,8.9242,8.7163,8.6577,8.1972,8.3083,8.9698,8.9447,9.0394,9.2279,9.0759,8.8705,9.1601,8.9148,8.7357,8.6629,8.8808,8.7936,8.6702,8.6035,8.6072,8.7462,8.4359,8.6234,8.632,8.5963,8.361,7.6519,8.025,7.9848,8.3864,8.8773
10,0.343,1.0642,3.2909,3.0312,3.1074,3.4072,3.6947,3.9263,4.0281,3.9529,4.26,4.4392,4.8497,5.0009,5.3524,5.0202,5.5149,5.9279,6.241,5.929,6.0448,6.0005,6.1503,6.3713,6.5982,6.415,6.2833,6.4923,6.4437,6.0468,6.4325,7.1419,7.6658,7.7734,8.0211,8.0815,8.0103,8.1973,8.2974,9.1348,9.0225,8.7126,8.7556,8.7779,8.2558,8.2873,9.0544,9.2821,8.881,8.7767,8.77,8.1818,7.4637,8.2259,8.5239,8.333,8.5265,8.4659,9.0254,9.4732,9.7843,9.44,9.2313,9.5026,9.1281,9.206,9.3155,9.3089,9.1198,8.8472,8.9668,8.6273,9.0452,8.7787,8.2856,8.2894,8.361,8.0928,8.1673,7.8679,8.1976,8.8736,8.2123,8.4774,8.5033,8.8584,8.6332,8.9702,8.5661,8.809,8.7681,8.8434,8.9461,8.6703,9.2953,9.2983,8.8634,8.9667,8.972,8.891,9.4298,9.1815,9.3649,9.2454,9.437,9.584,9.0213,9.5219,9.1643,9.3334,9.3513,9.3519,8.4283,7.9532,7.6086,8.4927,8.9152,8.6362,9.3837,9.148,9.4018,9.3748,9.1297,8.4077,8.7709,9.2151,9.3481,9.5662,9.5111,9.6735,9.7738,9.7558,9.8853,9.5122,9.1029,8.3637,9.1578,8.3605,8.6082,8.9033,9.0934,9.0998,9.3838,9.5964,9.4668,9.6573,9.4024,9.4919,9.1591,9.4542,9.1378,9.4031,9.3174,9.0882,9.3086,8.9637,9.5728,9.6773,9.772,9.2028,8.5847,8.6957,9.1624,8.9402,8.3274,8.4219,8.8185,9.2393,8.6574,8.9678,8.8752,8.9328,8.8848,9.368,9.0785,9.3074,9.2276,9.3104,9.5037,9.3632,9.0966,9.1722,9.2516,9.3272,9.0661,8.8542,8.5654,9.0842,9.3672,9.1026,9.2183,9.5313,9.4689,9.4239,9.1862,9.2158,8.7833,9.1619,9.0812,8.8156,8.7233,8.606
3,1.1213,1.7485,2.0971,2.0007,2.2781,2.129,2.1353,2.335,2.4201,2.7241,2.6785,2.5495,2.3243,2.1677,2.0473,2.0154,1.9271,1.9162,1.9069,1.9678,1.9761,2.0342,2.0721,2.1177,2.1727,2.1665,2.2603,2.2759,2.4866,2.6138,2.682,2.7332,2.9563,2.9721,2.9587,2.8658,2.8474,2.9276,2.8319,2.8984,2.9786,2.9782,2.981,2.9698,2.9609,2.8593,2.6254,2.6588,2.6825,2.6828,2.3446,2.689,2.8096,2.6693,2.4913,2.2615,2.7333,2.6468,2.6534,2.7716,2.8573,2.9192,2.8475,2.778,2.6074,2.608,2.7392,2.8073,2.9082,2.9591,2.9476,2.9793,2.8099,2.9806,2.9373,2.7839,2.6733,2.6953,2.8448,2.7835,2.734,2.6873,2.741,2.7931,2.7079,2.616,2.5625,2.4613,2.7361,2.6642,2.2061,2.3777,2.4622,2.3222,2.2888,2.1717,2.2684,2.4024,2.5576,2.9763,2.8956,2.691,2.6929,2.6589,2.4264,2.4138,2.3243,2.2847,2.9222,2.3529,2.2473,2.3188,2.3933,2.3714,2.6285,2.2443,2.2001,2.1831,2.2801,2.5499,2.5971,2.3207,2.3344,2.3256,2.5712,2.7397,2.7748,2.9472,2.8913,2.768,2.7314,2.631,2.5964,2.523,2.6006,2.6897,2.6734,2.8473,2.6604,2.5545,2.582,2.826,2.7965,2.6582,2.5625,2.5748,2.7442,2.7915,2.6533,2.8697,2.9305,2.9408,2.9099,2.8449,2.8083,2.8793,2.8307,2.7949,2.7117,2.5854,2.4666,2.7591,2.5916,2.5925,2.6398,2.6506,2.8809,2.8775,2.8881,2.8192,2.9015,2.8758,2.8284,2.777,2.628,2.5542,2.4376,2.4056,2.4965,2.3217,2.3571,2.1789,2.1529,2.1803,2.1345,2.0398,1.8626,1.8658,1.8741,2.0101,1.7924,1.6781,1.8139,1.7458,1.7605,1.6008,1.9113,1.982,2.3289,2.2279,2.1865,2.151
8,1.0474,1.0293,5.2211,5.1854,5.8483,5.9822,6.2609,6.2983,6.3271,6.3478,6.0433,6.1882,6.1106,5.9363,5.7367,5.8228,5.4734,5.5618,5.5037,5.6326,5.6307,5.8956,6.003,6.2362,6.376,6.1489,6.3679,6.5308,6.4083,6.6426,6.7576,6.9355,6.8396,6.6674,7.1213,7.4035,7.6961,7.662,7.4478,7.4261,7.3518,7.2151,7.2369,7.0465,7.016,7.2778,7.167,6.9816,7.3895,6.8175,6.7261,6.8573,6.4991,6.7065,6.9641,7.1529,7.1011,7.3578,7.1366,7.2873,7.4391,7.3926,7.221,7.3782,7.2153,7.3765,6.7294,7.3009,6.4007,6.7489,7.2587,7.4141,7.3049,7.0594,6.5927,6.5962,6.5291,6.8083,7.1807,7.1274,7.3127,7.0235,6.6034,6.6239,6.6689,7.1925,7.0348,6.7271,6.5095,5.8774,5.8874,6.2456,7.0417,6.4464,6.279,6.62,6.9256,7.0066,6.9406,7.3127,7.1387,7.3203,7.3707,7.1903,7.1759,7.1096,7.0192,6.8652,6.8966,6.5514,6.6268,7.2373,7.3999,7.3842,6.8293,6.9724,6.8314,6.7223,6.5758,6.259,6.6394,6.7039,6.5006,6.6092,6.3687,6.2546,6.3673,6.5355,6.5717,6.3667,6.2274,6.2246,6.5076,6.5175,6.2695,6.3838,6.5991,6.455,6.339,6.7782,6.6896,6.2148,6.1129,6.2456,5.9249,5.6819,5.7565,5.8577,5.8506,5.7041,5.4138,5.975,6.1292,5.8672,5.6619,6.1529,6.1815,6.3125,6.1396,6.7046,6.6069,7.1642,7.3426,7.1899,7.4904,7.4454,7.3089,7.4767,7.3898,7.0631,7.3307,7.1955,7.2058,7.302,7.3718,7.467,7.4942,6.9036,6.6686,6.3749,6.3638,7.1835,7.0847,6.8053,6.5417,6.5946,6.8155,7.048,7.2974,7.5227,7.5073,7.6259,7.7503,7.8354,7.7045,7.8078,7.6936,7.4561,7.4371,7.558,7.3851,7.4848
6,1.0961,1.2612,3.7621,3.6734,3.6262,3.7469,3.0624,3.045,3.0851,3.3239,3.7085,3.631,3.5134,3.3855,3.3543,3.2731,3.3406,3.2832,3.2006,3.2997,3.2721,3.4229,3.3288,3.3299,3.2054,3.1395,3.1426,3.2485,3.3618,3.3406,3.2517,3.2229,3.1088,3.1407,3.2097,3.1979,3.3373,3.4866,3.4212,3.6765,3.9266,3.934,3.8465,3.6657,3.6462,3.679,3.6481,3.6131,3.6582,3.3177,3.3322,3.5667,3.4853,3.4139,3.3786,3.4204,3.546,3.536,3.5476,3.9358,3.7792,3.6073,3.3642,3.2606,3.1491,3.4071,3.4637,3.5251,3.5443,3.4292,3.6462,3.4721,3.426,3.2709,3.0583,2.9574,2.842,2.9891,3.0622,3.0176,3.1012,3.109,2.9641,2.9172,2.9704,2.9896,2.9968,3.2835,3.8904,3.3468,3.0636,3.2252,3.2008,3.1657,3.1302,3.2524,3.378,4.609,3.6104,3.6386,3.6021,4.5658,4.4227,4.2087,3.9906,4.1305,4.2953,4.3556,4.4765,4.2601,4.2297,4.575,4.54,4.6395,4.5784,4.8262,4.7311,4.7645,4.7031,4.82,4.7728,4.6934,4.7281,4.6126,4.6394,4.6654,4.7932,4.76,4.7188,4.6731,4.7572,4.7577,4.7184,4.8379,4.7815,4.9054,4.9366,4.8352,4.9726,4.925,4.9834,4.7872,5.0208,5.0847,4.9623,4.9804,4.9363,4.9331,5.0109,4.9483,5.0257,5.0096,4.8757,4.8654,4.7994,4.8091,4.9462,5.0273,4.9193,4.8965,5.0049,4.9636,4.953,4.7238,4.8126,4.9425,4.9915,4.9686,4.9921,5.0999,4.9443,4.9525,4.9403,4.6851,4.7998,4.8496,4.848,4.6629,4.8721,4.8287,4.7298,4.9617,5.0372,4.9334,4.7532,4.9496,4.8753,4.9544,4.8008,4.7717,4.8575,4.9783,4.8842,4.9686,4.959,4.7984,5.0256,5.0803,4.9652,4.913,4.6769,4.4603
6,1.1873,1.8392,3.2447,3.29,3.0363,2.8844,2.8897,3.0697,2.9794,2.8716,2.956,3.3718,3.5976,4.0922,4.1079,4.0222,3.8862,3.6579,3.7041,3.6285,3.9413,4.181,4.3293,4.363,4.2135,4.3734,4.3734,4.548,4.5161,4.439,4.5398,4.4788,4.4977,4.5357,4.6847,4.7056,4.7844,4.9434,4.817,5.1083,5.1628,5.3563,5.3409,5.3322,5.4258,5.4158,5.2919,5.3588,5.4018,5.27,5.3567,5.3756,5.3176,5.1612,5.0912,4.6903,4.5333,4.3662,4.2513,4.3048,4.1419,4.7262,4.8093,4.9019,4.7205,4.6924,4.4485,4.4146,4.9033,4.9301,4.6275,4.9622,4.8155,4.8185,4.9265,5.0354,4.9455,5.2164,5.1506,4.6811,4.6663,4.7069,4.5776,4.718,4.8554,5.0718,5.1206,5.4251,5.4638,5.5353,5.3265,5.126,4.9512,5.1137,5.0235,5.1335,5.0954,4.4503,4.3318,3.9594,4.1469,3.8777,3.4603,3.6723,3.9885,3.9346,4.4025,4.5054,4.6312,4.5226,4.7068,4.753,4.352,4.5629,4.8776,4.9344,5.0986,5.2414,5.2513,5.0358,4.5471,5.4661,5.4109,4.8976,5.3892,4.9602,5.3191,4.807,5.461,4.9178,5.1624,5.3404,5.2005,5.226,5.1144,5.1948,5.1652,5.1803,5.0438,5.053,5.2093,5.0526,5.0018,4.9025,4.6539,4.639,4.1767,4.7186,5.2978,5.4537,5.399,5.4802,5.5326,5.5319,5.319,5.3933,5.2946,4.88,4.6184,4.6548,4.93,4.6135,4.6229,4.6075,4.6624,4.9374,4.8991,5.1155,5.3149,4.9313,4.9432,4.8558,5.0882,4.3117,4.5497,4.8743,4.8223,4.983,4.8998,4.8756,5.3273,5.2431,5.119,5.1661,4.968,4.9491,4.9825,5.1,5.1501,5.3575,5.3951,5.3964,5.3627,5.1354,5.3494,5.2656,5.3481,5.1773,4.889,4.9263,4.7975,4.5488
12,1.4976,1.9875,4.4297,4.6395,4.4866,4.5457,4.5809,4.7307,4.9233,5.1486,5.7029,6.1177,6.3117,6.3378,6.1851,6.4756,6.9504,6.9731,6.9288,7.1452,6.7201,7.6374,8.0346,8.9198,8.7952,8.8993,9.3328,9.1257,9.2301,9.314,8.731,9.0751,9.5359,9.8606,9.6173,9.0472,8.8312,8.4365,8.6657,9.3446,9.49,9.414,9.1582,8.9816,9.0246,9.2996,9.5431,9.1513,9.1475,9.6799,9.5778,9.8536,10.29,10.605,10.857,10.815,10.06,10.861,10.815,11.127,10.682,10.785,10.529,10.771,10.442,10.468,10.131,10.554,10.436,10.629,10.013,10.416,10.43,10.708,10.451,10.633,10.295,10.163,10.179,9.7465,10.287,10.585,10.36,10.482,10.423,9.8059,10.689,10.336,10.177,10.469,10.328,10.406,10.643,10.686,10.591,11.158,10.926,10.581,10.2,10.092,9.5619,9.3977,9.099,9.2809,9.0824,9.3556,9.4879,9.572,9.3011,9.2178,9.5503,9.2317,9.3293,9.8869,9.7319,9.6369,9.7871,9.9142,9.9735,9.4897,10.089,9.4104,9.5381,9.503,9.401,9.9005,10.308,10.459,10.722,10.575,10.67,11.046,10.527,9.6462,9.8291,9.4912,9.4054,9.7721,9.2124,8.8599,8.8381,9.1466,8.6072,8.2728,8.7413,9.4064,9.6396,10.125,10.368,10.159,9.9347,9.9417,10.054,9.8692,10.305,10.205,10.604,10.846,10.755,10.632,10.534,10.754,10.812,10.45,10.253,10.346,10.191,10.301,10.034,10.242,10.24,10.897,11.14,10.541,10.441,10.392,10.177,10.118,9.6004,10.149,10.199,9.8162,9.5251,9.5719,10.342,9.7728,9.5002,9.7651,9.6505,10.167,10.076,10.453,10.422,9.9905,10.215,9.9514,10.284,9.7283,9.4375,8.844,8.7636,8.8774
11,0.01191,1.634,4.8844,4.3621,4.9337,5.0645,5.1826,5.5723,5.7756,6.1009,6.2067,6.4669,6.8164,6.6379,7.7435,7.9211,8.2777,8.5563,8.6045,9.037,9.1361,9.2503,9.3603,9.4924,9.1037,9.2761,9.3384,9.1388,9.5501,9.0247,9.0782,9.2061,9.2167,9.4472,9.7253,9.8074,9.1467,9.5849,9.4563,8.9284,8.9822,8.7262,9.8798,9.5462,9.452,9.3644,9.5764,9.8628,9.9375,9.9907,10.13,10.648,10.463,9.8641,9.6217,9.5149,9.5926,9.5988,9.5386,9.7082,9.6211,9.0625,9.1818,9.3599,9.2072,9.8276,9.9482,9.7997,9.9124,10.009,10.25,10.619,10.768,10.495,10.242,9.8747,9.6959,9.9145,10.351,9.6586,9.4462,9.6937,9.8588,9.7731,10.245,10.34,10.257,10.142,10.022,10.239,10.311,9.9931,10.259,9.7254,9.6904,8.6747,9.3,9.0874,9.4916,9.895,9.7221,9.4899,9.8949,9.9597,9.9404,9.8348,10.298,10.46,9.9929,10.499,10.731,10.6,10.411,10.353,10.289,10.333,9.5609,9.8829,9.4582,9.5355,9.4823,10.017,9.65,9.3182,9.637,9.917,10.297,10.508,10.357,10.155,10.163,10.242,9.7444,9.8063,9.5125,10.496,10.239,10.142,9.8606,9.5174,9.7245,9.9371,9.5857,10.17,9.6942,10.198,9.7049,9.8642,9.9781,9.8177,9.6718,9.3148,9.5209,9.6671,9.9832,9.5368,10.421,10.026,10.144,10.036,10.396,10.426,10.6,10.667,9.9391,9.9013,9.8836,9.9499,10.293,10.43,10.444,10.121,9.8864,10.134,9.9622,9.9341,10.032,9.4865,9.5864,10.193,10.099,9.8478,10.141,10.609,10.082,10.183,10.258,10.512,10.54,10.353,10.585,10.532,10.631,10.602,10.355,10.118,10.47,10.045,10.339,10.266,9.9714,9.9314
6,0.99201,1.8957,3.962,4.0972,3.6273,4.093,4.5244,3.6285,3.687,4.1684,3.8857,3.272,3.0568,2.7509,2.806,2.7786,2.7472,2.9012,2.8873,3.0985,2.9127,2.9437,3.0388,4.137,4.3312,4.6372,3.5711,3.3742,3.287,3.5776,3.5854,3.7413,3.5466,3.4153,3.4871,3.7535,3.6923,3.8501,4.1121,3.8539,3.7538,3.5394,3.2769,3.6373,3.8473,3.9094,3.8882,3.6971,3.4834,3.3863,3.8733,3.1734,3.3235,3.605,4.1267,3.8865,3.7869,3.9763,4.1233,4.3118,4.3429,4.6315,4.5426,4.5235,4.5225,4.4689,4.3354,4.5692,4.4127,4.3638,4.2871,4.1774,4.2231,4.2677,4.2143,4.3938,4.4152,4.1424,4.2369,4.4054,4.5726,4.6616,4.8216,4.8081,4.5472,4.4886,4.3244,4.3721,4.2841,4.4254,4.5307,4.6328,4.6872,5.1839,5.1628,5.0423,5.2161,5.2489,5.1942,5.3347,5.0974,5.1568,5.2793,5.1653,5.1826,5.2496,5.1145,4.9147,4.8675,4.7923,5.0944,5.2051,5.1644,5.1113,5.1245,4.9087,5.0513,5.0373,4.632,5.1043,5.1775,5.3631,5.122,4.9754,4.7327,4.8117,4.3443,4.5155,4.9482,5.1541,5.1841,5.1788,5.2838,5.305,5.0511,4.8987,4.809,4.9289,4.9462,4.8115,5.059,5.1507,5.1617,5.0134,4.7942,4.9712,5.1132,5.0313,4.8984,4.7524,4.6806,4.8376,4.8457,4.9054,4.8325,4.7495,4.2668,4.2844,4.237,4.2144,4.2974,4.1054,4.2636,4.0097,4.1188,4.3749,4.6206,4.7901,4.8921,4.8978,5.1013,5.2256,5.3006,5.2376,5.4206,5.3895,5.0422,5.1428,5.1368,4.8243,4.5129,4.2929,4.9855,4.6931,5.1436,5.1959,5.2405,5.1431,5.304,5.212,5.1016,5.094,5.0108,4.8058,4.8099,5.1104,5.1952,5.3587,5.3792,5.4454,5.459,5.4636
